XXSDLEA,New_RCDT,Source,Comments
~00001,~08043210026,Unified,
~00002,~11012004C26,Unified,
~00003,~17020018026,Unified,
~00004,~20097003026,Unified,
~00005,~17053008026,Unified,
~00007,~08008308026,Unified,
~00014,~21044001026,Unified,
~00015,~21061038026,Unified,
~00041,~09027005026,Unified,
~00044,~48072265026,Unified,
~00045,~20030007026,Unified,
~00092,~54092004026,Unified,
~00102,~40007042026,Unified,
~00105,~01009262026,Unified,
~00106,~09010008026,Unified,
~00109,~17064019026,Unified,
~00110,~34049187026,Unified,
~00113,~53060189026,Unified,
~00114,~13058401026,Unified,
~00115,~35059005026,Unified,
~00120,~35050425026,Unified,
~00122,~11023001026,Unified,
~00123,~39055015026,Unified,
~00125,~28006340026,Unified,
~00126,~35059007026,Unified,
~00130,~08008314026,Unified,
~00153,~26029097026,Unified,
~00176,~11087003A26,Unified,
~00217,~21028099026,Unified,
~00223,~11070302026,Unified,
~00314,~26062103026,Unified,
~00319,~33036235026,Unified,
~00320,~33094238026,Unified,
~00321,~33094304026,Unified,
~00323,~32038249026,Unified,
~00324,~39055009026,Unified,
~00326,~53102011026,Unified,
~00332,~26085005026,Unified,
~01382,~21028174026,Unified,
~01387,~01075012026,Unified,
~01390,~17053074027,Unified,
~01395,~33066404026,Unified,
~01403,~40056034026,Unified,
~01404,~13058722026,Unified,
~01413,~33048276026,Unified,
~01416,~32038124026,Unified,
~01418,~54092512026,Unified,
~03300,~44063019024,Unified,
~03450,~20093017024,Unified,
~03510,~03025010026,Unified,
~03600,~41057011026,Unified,
~03660,~28037225026,Unified,
~03690,~47052272026,Unified,
~03810,~28037226026,Unified,
~03960,~11021306026,Unified,
~03990,~39055001026,Unified,
~04260,~11021305026,Unified,
~04380,~47052275026,Unified,
~04440,~26029001026,Unified,
~04470,~51065213026,Unified,
~04620,~51084010026,Unified,
~04680,~31045131022,Unified,
~04710,~31045129022,Unified,
~04920,~51084005026,Unified,
~05050,~34049220026,Unified,
~05220,~31045101022,Unified,
~05310,~01009015026,Unified,
~05430,~56099200U26,Unified,
~05460,~03025020026,Unified,
~05790,~04004100026,Unified,
~05820,~39074005026,Unified,
~06120,~41057008026,Unified,
~06390,~54092001026,Unified,
~06480,~17064087025,Unified,
~06600,~01086002026,Unified,
~06880,~28088001026,Unified,
~07200,~48072309026,Unified,
~07440,~03026201026,Unified,
~07650,~09027010026,Unified,
~07770,~40056008026,Unified,
~07830,~31045301026,Unified,
~07950,~26062170026,Unified,
~08010,~47071226026,Unified,
~08040,~50082187026,Unified,
~08070,~30002001022,Unified,
~08160,~28037227026,Unified,
~08220,~01001003026,Unified,
~08250,~30039176026,Unified,
~08280,~26029066025,Unified,
~08430,~40056001026,Unified,
~08460,~13014001026,Unified,
~08500,~20097005026,Unified,
~08550,~31045300026,Unified,
~08580,~20083002026,Unified,
~08610,~40031001026,Unified,
~08640,~21100005026,Unified,
~09100,~11087021026,Unified,
~09330,~39074100026,Unified,
~09400,~08008399026,Unified,
~09420,~09010004026,Unified,
~09600,~11015001026,Unified,
~09810,~45079139026,Unified,
~09930,~15016299025,Unified,
~10240,~20096200026,Unified,
~10290,~32038006026,Unified,
~10340,~12013010026,Unified,
~10410,~32038004026,Unified,
~10440,~17020015026,Unified,
~10530,~24032001026,Unified,
~10570,~30091017022,Unified,
~10650,~41057010026,Unified,
~10740,~45067004026,Unified,
~10790,~20033010026,Unified,
~10800,~54092076026,Unified,
~10820,~54092002026,Unified,
~10830,~01069027026,Unified,
~10980,~45079001022,Unified,
~11100,~21100003026,Unified,
~11250,~56099201U26,Unified,
~11400,~26029003026,Unified,
~11610,~08089201026,Unified,
~11790,~54092118024,Unified,
~11850,~39055061025,Unified,
~11880,~53090701026,Unified,
~12000,~16019428026,Unified,
~12030,~39074057026,Unified,
~12060,~53090703026,Unified,
~12090,~28006103022,Unified,
~12240,~03025030026,Unified,
~12330,~47052170022,Unified,
~12480,~30091066022,Unified,
~12510,~32038003026,Unified,
~12700,~48072323026,Unified,
~12720,~50082196026,Unified,
~12760,~30073300026,Unified,
~12810,~04101322026,Unified,
~12930,~35050009026,Unified,
~13050,~08043119022,Unified,
~13290,~12080001026,Unified,
~13320,~50082189022,Unified,
~13370,~11023006026,Unified,
~13410,~03011004026,Unified,
~13500,~20024001026,Unified,
~13530,~41057007026,Unified,
~13560,~03025040026,Unified,
~13590,~30002005026,Unified,
~13660,~20083004026,Unified,
~13710,~31045046022,Unified,
~13860,~30039196026,Unified,
~13920,~17064003026,Unified,
~13970,~19022205026,Unified,
~14050,~48072322026,Unified,
~14100,~06016401026,Unified,
~14350,~47098001026,Unified,
~14430,~53102140026,Unified,
~15100,~53102006026,Unified,
~15180,~09010001026,Unified,
~15400,~12013035026,Unified,
~15490,~47071221026,Unified,
~15750,~01069001026,Unified,
~15880,~35050002026,Unified,
~15900,~08089145022,Unified,
~16020,~20083001026,Unified,
~16050,~08043120022,Unified,
~16080,~33048205026,Unified,
~16140,~28037224026,Unified,
~16350,~28037228026,Unified,
~16380,~31045304026,Unified,
~16410,~16019424026,Unified,
~16680,~40056007026,Unified,
~17280,~41057009026,Unified,
~17370,~32046006026,Unified,
~17580,~20097001026,Unified,
~17670,~40031010026,Unified,
~17700,~51065200026,Unified,
~17730,~03003002026,Unified,
~17790,~01075004026,Unified,
~18060,~26034328024,Unified,
~18180,~40007040026,Unified,
~18200,~20035001026,Unified,
~18240,~04101122022,Unified,
~18270,~20083003026,Unified,
~18390,~17054021026,Unified,
~18420,~44063050026,Unified,
~18510,~53060126026,Unified,
~18810,~21100004026,Unified,
~18840,~32046002026,Unified,
~18870,~17064004026,Unified,
~18990,~41057005026,Unified,
~19200,~03068003026,Unified,
~19260,~16019429026,Unified,
~19660,~54092011026,Unified,
~19830,~44063158022,Unified,
~19920,~12017001026,Unified,
~19960,~48072327026,Unified,
~19970,~48072321026,Unified,
~20170,~32038009026,Unified,
~20180,~32038010026,Unified,
~20280,~01069117022,Unified,
~20380,~12040001026,Unified,
~20430,~40042100026,Unified,
~20490,~44063012026,Unified,
~20550,~21100001026,Unified,
~20760,~32046111025,Unified,
~20790,~11023003026,Unified,
~21000,~28037229026,Unified,
~21300,~16019426026,Unified,
~21390,~33048202026,Unified,
~21680,~28006303026,Unified,
~21900,~34049095026,Unified,
~22130,~12051010026,Unified,
~22150,~12051020026,Unified,
~22300,~50082009026,Unified,
~22350,~47052271026,Unified,
~22530,~08089202026,Unified,
~22620,~17064002026,Unified,
~22710,~17064007026,Unified,
~22770,~01001002026,Unified,
~22870,~35050001026,Unified,
~23200,~19022202026,Unified,
~23250,~03068012026,Unified,
~23640,~50082188022,Unified,
~23920,~26062185026,Unified,
~23970,~41057012026,Unified,
~24060,~09010003026,Unified,
~24390,~32046005026,Unified,
~24480,~31045302026,Unified,
~24600,~21100002026,Unified,
~24650,~50082040026,Unified,
~24750,~39055002026,Unified,
~24870,~11012002C26,Unified,
~24900,~11012003C26,Unified,
~24940,~50082019026,Unified,
~25000,~21061001026,Unified,
~25050,~11015002026,Unified,
~25590,~01001004026,Unified,
~25680,~01069011026,Unified,
~25690,~47071223026,Unified,
~26400,~49081040022,Unified,
~26430,~32046001026,Unified,
~26550,~39074025026,Unified,
~26710,~47098006026,Unified,
~26760,~03011001026,Unified,
~26800,~53090709026,Unified,
~26970,~30077101026,Unified,
~27180,~40056005026,Unified,
~27290,~17054023026,Unified,
~27300,~01005001026,Unified,
~27390,~39055003026,Unified,
~27450,~03003001026,Unified,
~27610,~30039186026,Unified,
~27710,~19022203026,Unified,
~27780,~26034325026,Unified,
~27840,~11018003026,Unified,
~27960,~50082060026,Unified,
~27990,~51084016026,Unified,
~28560,~03068022026,Unified,
~28620,~17064005026,Unified,
~28700,~04004200026,Unified,
~28810,~12013025026,Unified,
~29340,~11015005026,Unified,
~29420,~12017004026,Unified,
~29890,~17064016026,Unified,
~29940,~33048208026,Unified,
~30060,~08089203026,Unified,
~30160,~47071220026,Unified,
~30200,~28037223026,Unified,
~30270,~24047308026,Unified,
~30480,~12017003026,Unified,
~30540,~40056002026,Unified,
~30630,~03011008026,Unified,
~30660,~03068002026,Unified,
~30750,~11023095025,Unified,
~30780,~11023004026,Unified,
~30870,~13058100026,Unified,
~30930,~51084011026,Unified,
~30990,~01001001026,Unified,
~31020,~08089200026,Unified,
~31050,~04101321026,Unified,
~31230,~48072150025,Unified,
~31270,~48072325026,Unified,
~31290,~56099207U26,Unified,
~31410,~51065202026,Unified,
~31500,~40056009026,Unified,
~31710,~01075010026,Unified,
~31740,~56099202022,Unified,
~31770,~24047088026,Unified,
~31890,~01075003026,Unified,
~31920,~51084008026,Unified,
~32100,~47071222026,Unified,
~32280,~20076001026,Unified,
~32770,~48072326026,Unified,
~32830,~47098003026,Unified,
~32960,~35078535026,Unified,
~33000,~01001172022,Unified,
~33090,~03026204026,Unified,
~33300,~45079132026,Unified,
~33380,~56099255U26,Unified,
~33930,~49081100026,Unified,
~33950,~47098002026,Unified,
~34100,~51084014026,Unified,
~34140,~53102060026,Unified,
~34230,~12017002026,Unified,
~34320,~51084003A26,Unified,
~34410,~49081041025,Unified,
~34440,~49081300026,Unified,
~34510,~04101205025,Unified,
~34870,~54092007026,Unified,
~34990,~34049116026,Unified,
~35010,~41057001026,Unified,
~35310,~13058501026,Unified,
~35370,~16019430026,Unified,
~35610,~08043211026,Unified,
~35940,~21028196026,Unified,
~35970,~16019425026,Unified,
~36090,~11087004026,Unified,
~36180,~49081200026,Unified,
~36570,~16019432026,Unified,
~36600,~04101320026,Unified,
~36610,~26034337026,Unified,
~36640,~03011014024,Unified,
~36900,~45079140026,Unified,
~36960,~26029004026,Unified,
~37080,~51084186025,Unified,
~37170,~31045303026,Unified,
~37230,~03026202026,Unified,
~37350,~41057002026,Unified,
~37490,~28088100026,Unified,
~37590,~40056006026,Unified,
~37650,~45079138026,Unified,
~37830,~11087005A26,Unified,
~37980,~08043206026,Unified,
~38070,~17053005026,Unified,
~38130,~11070300026,Unified,
~38460,~16019427026,Unified,
~38490,~26029002026,Unified,
~38700,~03011003026,Unified,
~38760,~03025050026,Unified,
~39090,~11018077026,Unified,
~39120,~09010007026,Unified,
~39390,~53090702026,Unified,
~39420,~13014003026,Unified,
~39450,~51084001026,Unified,
~39480,~17053006J26,Unified,
~39600,~11021301026,Unified,
~39630,~30077100026,Unified,
~39960,~09010116022,Unified,
~40070,~56099365U26,Unified,
~40080,~45067003026,Unified,
~40140,~03026203026,Unified,
~40200,~41057003026,Unified,
~40320,~11021302026,Unified,
~40410,~01009064026,Unified,
~40470,~20093348026,Unified,
~40650,~13041001026,Unified,
~40740,~08043205026,Unified,
~40830,~39055011026,Unified,
~40890,~26034316026,Unified,
~40920,~53102021026,Unified,
~41070,~45067005026,Unified,
~41190,~34049118026,Unified,
~41250,~34049060026,Unified,
~41280,~01069006026,Unified,
~41360,~20096100026,Unified,
~41580,~21028168026,Unified,
~41690,~19022204026,Unified,
~41750,~13095010026,Unified,
~41980,~19022201026,Unified,
~42060,~28037230026,Unified,
~42180,~19022200026,Unified,
~42240,~40031003026,Unified,
~42310,~47098005026,Unified,
~42450,~33048210026,Unified,
~42480,~51084015026,Unified,
~42630,~56099209U26,Unified,
~42660,~01086001026,Unified,
~42690,~11087001026,Unified,
~42790,~04101323026,Unified,
~42990,~30091084026,Unified,
